epoch,average loss,accuracy
0.000000,72.665581,42.630001
1.000000,63.529598,51.770000
2.000000,58.344921,57.959999
3.000000,55.717171,59.020000
4.000000,47.077553,67.139999
5.000000,41.192879,71.889999
6.000000,40.265965,72.389999
7.000000,40.098335,72.980003
8.000000,36.140091,75.559998
9.000000,35.734398,76.320000
10.000000,36.302181,75.680000
11.000000,34.832283,76.930000
12.000000,36.805355,75.430000
13.000000,32.994678,78.389999
14.000000,32.153866,78.870003
15.000000,30.656851,80.010002
16.000000,31.411301,79.190002
17.000000,31.747965,79.279999
18.000000,35.954098,74.690002
19.000000,32.407982,78.550003
20.000000,34.137928,76.449997
21.000000,27.483225,82.529999
22.000000,34.308468,76.250000
23.000000,28.389668,81.790001
24.000000,33.637585,77.120003
25.000000,30.834440,79.650002
26.000000,24.976583,84.330002
27.000000,32.376583,78.430000
28.000000,26.273884,83.139999
29.000000,27.303673,82.080002
30.000000,25.674984,83.339996
31.000000,27.112646,82.120003
