epoch,average loss,accuracy
0.000000,72.665581,42.630001
1.000000,63.529598,51.770000
2.000000,58.344921,57.959999
3.000000,55.717171,59.020000
4.000000,47.077553,67.139999
5.000000,41.192879,71.889999
6.000000,40.265965,72.389999
7.000000,40.098335,72.980003
8.000000,36.140091,75.559998
9.000000,37.297398,74.699997
10.000000,36.625912,75.250000
11.000000,35.947598,76.269997
12.000000,31.549421,79.410004
13.000000,30.538170,80.370003
14.000000,32.553188,78.699997
15.000000,29.871447,80.820000
16.000000,32.311966,78.610001
17.000000,31.570515,79.360001
18.000000,33.086887,77.519997
19.000000,29.236227,81.019997
20.000000,30.189709,79.919998
21.000000,27.450256,82.379997
22.000000,28.322765,81.570000
23.000000,26.907116,82.470001
24.000000,31.252037,79.080002
25.000000,30.245068,79.809998
26.000000,29.035500,81.320000
27.000000,26.851616,82.620003
28.000000,27.204481,82.279999
29.000000,30.311220,79.989998
30.000000,27.499214,81.889999
31.000000,29.966606,80.269997
