epoch,average loss,accuracy
0.000000,72.665581,42.630001
1.000000,63.529598,51.770000
2.000000,58.344921,57.959999
3.000000,55.717171,59.020000
4.000000,47.077553,67.139999
5.000000,41.192879,71.889999
6.000000,40.265965,72.389999
7.000000,40.098335,72.980003
8.000000,36.140091,75.559998
9.000000,35.734398,76.320000
10.000000,36.302181,75.680000
11.000000,34.832283,76.930000
12.000000,36.805355,75.430000
13.000000,32.994678,78.389999
14.000000,32.153866,78.870003
15.000000,31.304022,79.430000
16.000000,31.003551,79.570000
17.000000,32.328667,78.970001
18.000000,33.661274,77.209999
19.000000,29.265148,80.580002
20.000000,29.463366,81.059998
21.000000,26.517134,82.709999
22.000000,30.383976,79.750000
23.000000,29.037071,80.519997
24.000000,29.668968,80.430000
25.000000,32.961456,78.019997
26.000000,27.285624,81.910004
27.000000,29.819000,80.080002
28.000000,26.448881,83.199997
29.000000,28.706739,81.190002
30.000000,28.012688,81.459999
31.000000,28.670685,81.019997
